Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
09-02-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,7084","1,2216",UTM/1000m3
02-02-2023,Gasolina Automotriz 93 (*),"6,00","-0,3930","5,6070",UTM/m3
02-02-2023,Gasolina Automotriz 97 (*),"6,00","-0,2829","5,7171",UTM/m3
02-02-2023,Petroleo Diesel,"1,50","0,8795","2,3795",UTM/m3
02-02-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","-0,4806","0,9194",UTM/m3
02-02-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","-0,7303","1,1997",UTM/1000m3
26-01-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,00",UTM/m3
26-01-2023,Gasolina Automotriz 97 (*),"6,00","0,0910","6,0910",UTM/m3
26-01-2023,Petroleo Diesel,"1,50","0,9431","2,4431",UTM/m3
26-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
26-01-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0000","1,93",UTM/1000m3
19-01-2023,Gasolina Automotriz 93 (*),"6,00","0,8225","6,8225",UTM/m3
19-01-2023,Gasolina Automotriz 97 (*),"6,00","1,0026","7,0026",UTM/m3
19-01-2023,Petroleo Diesel,"1,50","1,7603","3,2603",UTM/m3
19-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,2826","1,6826",UTM/m3
19-01-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,4294","2,3594",UTM/1000m3
12-01-2023,Gasolina Automotriz 93 (*),"6,00","0,5826","6,5826",UTM/m3
12-01-2023,Gasolina Automotriz 97 (*),"6,00","0,8800","6,8800",UTM/m3
12-01-2023,Petroleo Diesel,"1,50","1,1125","2,6125",UTM/m3
12-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,4910","1,8910",UTM/m3
12-01-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,7461","2,6761",UTM/1000m3
05-01-2023,Gasolina Automotriz 93 (*),"6,00","0,8381","6,8381",UTM/m3
05-01-2023,Gasolina Automotriz 97 (*),"6,00","1,2545","7,2545",UTM/m3
05-01-2023,Petroleo Diesel,"1,50","0,9100","2,4100",UTM/m3
05-01-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,6768","2,0768",UTM/m3
05-01-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","1,0284","2,9584",UTM/1000m3
